,name hebrew,name,var,code,value hebrew ,value
47,,,SUG_TEUNA,9,ירידה מהכביש או עלייה למדרכה,went offroad to on sidewalk
48,,,SUG_TEUNA,10,התהפכות,flipped over 
49,,,SUG_TEUNA,11,החלקה,slipped
50,,,SUG_TEUNA,12,פגיעה בנוסע בתוך כלי רכב,individual inside car hit 
51,,,SUG_TEUNA,13,נפילה ברכב נע,falling from moving vehicle 
52,,,SUG_TEUNA,14,שריפה,fire 
53,,,SUG_TEUNA,15,אחר,other 
54,,,SUG_TEUNA,17,התנגשות אחור אל חזית,back to front 
55,,,SUG_TEUNA,18,התנגשות אחור אל צד,back to side
56,,,SUG_TEUNA,19,התנגשות עם בעל חיים,impact with animal
57,,,SUG_TEUNA,20,פגיעה ממטען של רכב,impact with cargo from other vehicle
58,צורת הדרך,Road property,ZURAT_DEREH,1,כניסה למחלף,entering interchange 
59,,,ZURAT_DEREH,2,ביציאה ממחלף,exit interchange
60,,,ZURAT_DEREH,3,מ.חניה/ת. דלק,gas station or parking lot 
61,,,ZURAT_DEREH,4,שיפוע תלול,steep incline 
62,,,ZURAT_DEREH,5,עקום חד,hard turn 
63,,,ZURAT_DEREH,6,על גשר מנהרה,bridge 
64,,,ZURAT_DEREH,7,מפגש מסילת ברזל,railroad intersection 
65,,,ZURAT_DEREH,8,כביש ישר/צומת,road or intersection 
66,,,ZURAT_DEREH,9,אחר,other 
67,,,ZURAT_DEREH,10,תחנת אוטובוס,bus stop 
68,,,ZURAT_DEREH,,נתיב תחבורה ציבורית,bus lane 
69,"דרך חד מסלולית (חלופה ל""דרך רב מסלולית"")",Single lane,HAD_MASLUL,1,חד סיטרי,one way road 
70,,,HAD_MASLUL,2,דו סיטרי+קו הפרדה רצוף,two way no bypass 
71,,,HAD_MASLUL,3,דו סיטרי אין קו הפרדה רצוף,two way yes bypass 
72,,,HAD_MASLUL,4,אחר,other 
73,,,HAD_MASLUL,9,לא ידוע מספר מסלולים,unknown number of lanes 
74,"דרך רב מסלולית (חלופה ל""דרך חד מסלולית"")",Multiple lane ,RAV_MASLUL,1,מיפרדה מסומנת בצבע,painted divider 
75,,,RAV_MASLUL,2,מיפרדה עם גדר בטיחות,fenced divider 
76,,,RAV_MASLUL,3,מיפרדה בנויה ללא גדר בטיחות,built divider no fence 
77,,,RAV_MASLUL,4,מיפרדה לא בנויה,unbuilt divier 
78,,,RAV_MASLUL,5,אחר,other 
79,מהירות מותרת,Speed limit,MEHIRUT_MUTERET,0,לא ידוע,unknown
80,,,MEHIRUT_MUTERET,1,"עד 50 קמ""ש",upto 50 km/h
81,,,MEHIRUT_MUTERET,2,"60 קמ""ש",60
82,,,MEHIRUT_MUTERET,3,"70 קמ""ש",70
83,,,MEHIRUT_MUTERET,4,"80 קמ""ש",80
84,,,MEHIRUT_MUTERET,5,"90 קמ""ש",90
85,,,MEHIRUT_MUTERET,6,"100 קמ""ש",100
86,,,MEHIRUT_MUTERET,7,"110 קמ""ש",110
87,תקינות הדרך,Road deficiency,TKINUT,0,לא ידוע,unknown
88,,,TKINUT,1,אין ליקוי,no deficiency
89,,,TKINUT,2,שוליים גרועים,bad shoulders
90,,,TKINUT,3,כביש משובש,bad road
91,,,TKINUT,4,שוליים גרועים וכביש משובש,bad shoulders and road
92,רוחב הכביש,Road width,ROHAV,0,לא ידוע,unknown
93,,,ROHAV,1,עד 5 מטר,up to 5 meters 
94,,,ROHAV,2,5 עד 7,5 to 7 meters 
95,,,ROHAV,3,7 עד 10.5,7 to10.5 meters
96,,,ROHAV,4,10.5 עד 14,10.5 to 14 meters 
97,,,ROHAV,5,יותר מ-14,above 14 metesr 
98,סימון/תימרור,Signs and markings,SIMUN_TIMRUR,1,סימון לקוי/חסר,bad or missing markings 
99,,,SIMUN_TIMRUR,2,תימרור לקוי/חסר,bad or missing signs 
100,,,SIMUN_TIMRUR,3,אין ליקוי,no deficiency
101,,,SIMUN_TIMRUR,4,לא נדרש תמרור,no signs needed
102,,,SIMUN_TIMRUR,5,לא ידוע,unknown
103,תאורה,Lighting ,TEURA,1,אור יום רגיל,regular daylight
104,,,TEURA,2,"ראות מוגבלת עקב מזג אויר (עשן,ערפל)","limited visibility due to weather (smoke, mist)"
105,,,TEURA,3,לילה פעלה תאורה,"night, lights on"
106,,,TEURA,4,קיימת תאורה בלתי תקינה/לא פועלת,partial or no light
107,,,TEURA,5,לילה לא קיימת תאורה,"night, no light"
108,,,TEURA,6,לילה לא ידוע,"night, unknown light"
109,,,TEURA,7,לילה תאורה תקינה עם ראות מוגבלת,"night, lights on, limited visibility"
110,,,TEURA,8,לילה תאורה לא תקינה עם ראות מוגבלת,"night, lights not working, limited visibility"
111,,,TEURA,9,לילה ללא תאורה  עם ראות מוגבלת,"night, lights off, limited visibility"
112,,,TEURA,10,דמדומים,twilight
113,,,TEURA,11,יום לא ידוע,day unknown
114,בקרה בצומת (קיים,Intersection control,BAKARA,1,אין בקרה,none
115,"רק בסוג דרך 1,3)",,BAKARA,2,רמזור תקין,working traffic light
116,,,BAKARA,3,רמזור מהבהב צהוב,yellow blink traffic light
117,,,BAKARA,4,רמזור לא תקין,traffic light not working 
118,,,BAKARA,5,תמרור עצור,stop sign
119,,,BAKARA,6,תמרור זכות קדימה,give way
120,,,BAKARA,7,אחר,other 
121,מזג אויר,Weather ,MEZEG_AVIR,1,בהיר,clear
122,,,MEZEG_AVIR,2,גשום,rainy
123,,,MEZEG_AVIR,3,שרבי,haze
124,,,MEZEG_AVIR,4,ערפילי,mist
125,,,MEZEG_AVIR,5,אחר,other 
126,,,MEZEG_AVIR,9,לא ידוע,unknown
127,מצב פני הכביש,Road surface condition,PNE_KVISH,1,יבש,dry
128,,,PNE_KVISH,2,רטוב ממים,wet from water 
129,,,PNE_KVISH,3,מרוח בחומר דלק,fuel on road
130,,,PNE_KVISH,4,מכוסה בבוץ,mud on road
131,,,PNE_KVISH,5,חול או חצץ על הכביש,sand or gravel on road
132,,,PNE_KVISH,6,אחר,other
133,,,PNE_KVISH,9,לא ידוע,unknown
134,סוג העצם (רק בסוג תאונה 8),Object type ,SUG_EZEM,1,עץ,tree
135,,,SUG_EZEM,2,עמוד חשמל/תאורה/טלפון,post
136,,,SUG_EZEM,3,תמרור ושלט,sign post 
137,,,SUG_EZEM,4,גשר סימניו ומגיניו,bridge structure 
138,,,SUG_EZEM,5,מבנה,structure 
139,,,SUG_EZEM,6,גדר בטיחות לרכב,safety fence 
140,,,SUG_EZEM,7,חבית,barrel 
141,,,SUG_EZEM,8,אחר,other 
142,,,SUG_EZEM,9,לא ידוע,unknown
143,מרחק העצם (רק בסוג תאונה 8),Objevt distance ,MERHAK_EZEM,1,עד מטר,up to 1 meter 
144,,,MERHAK_EZEM,2,1-3 מטר,1-3 meters 
145,,,MERHAK_EZEM,3,על הכביש,on the road 
146,,,MERHAK_EZEM,4,על שטח הפרדה,on seperator 
147,,,MERHAK_EZEM,9,לא ידוע,unknown
148,"לא חצה (רק בסוג תאונה1, חלופה ל""אופן חצייה"")",Pedestrian non-crossing behavior,LO_HAZA,1,הלך בכיוון התנועה,walked in the direction of traffic 
149,,,LO_HAZA,2,הלך נגד,walked against traffic 
150,,,LO_HAZA,3,שיחק על הכביש,play on the road 
151,,,LO_HAZA,4,עמד על הכביש,stad on the road 
152,,,LO_HAZA,5,היה על אי הפרדה,was on divider 
153,,,LO_HAZA,6,היה על שוליים/מדרכה,was on shoulder or sidewalk
154,,,LO_HAZA,7,אחר,other 
155,,,LO_HAZA,9,לא ידוע,unknown
156,"אופן חציה (רק בסוג תאונה1, חלופה ל""לא חצה"")",Pedestrian crossing behavior,OFEN_HAZIYA,1,התפרץ אל הכביש,jumped into road
157,,,OFEN_HAZIYA,2,חצה שהוא מוסתר,crossed invisibly 
158,,,OFEN_HAZIYA,3,חצה רגיל,crossed 
159,,,OFEN_HAZIYA,4,אחר,other 
160,,,OFEN_HAZIYA,8,לא חצה,did not cross 
