attribute,attribute_majority_vote,clusters_count,clusters_percent,Consistent Severity,Improved Safety,Severe Turnaround,Stable Safety,severe_turnaround_probability,consistent_severe_probability,Accidents Percentage
TKINUT,bad shoulders and road,1.2,0.04,0.0,0.2,0.0,1.0,0.0,0.0,27.33
TKINUT,no deficiency,2267.56,81.67,102.44,590.0,127.67,1447.44,8.04,14.74,49.18
TKINUT,unknown,496.22,18.14,1.89,23.11,16.89,454.33,3.63,6.51,100.0
YEHIDA,galil unit,7.0,0.22,1.0,1.0,0.0,5.0,0.0,50.0,64.71
YEHIDA,hof unit,201.89,7.38,4.56,49.56,9.33,138.44,6.73,8.65,99.21
YEHIDA,jerusalem unit,231.56,8.38,12.89,68.44,14.67,135.56,9.99,15.97,99.81
YEHIDA,lakish unit,193.56,6.92,7.78,44.11,10.89,130.78,7.46,15.25,98.93
YEHIDA,negev unit,121.56,4.43,2.44,20.67,6.33,92.11,6.7,10.09,99.85
YEHIDA,sharon unit,336.33,12.12,8.89,56.67,13.89,256.89,5.12,13.88,98.76
YEHIDA,shfela unit,355.0,12.88,6.89,50.11,14.78,283.22,5.01,11.65,96.79
YEHIDA,tel aviv unit,1328.44,47.86,60.89,324.33,74.78,868.44,7.85,15.75,99.58
YOM_BASHAVUA,Friday,157.11,5.7,7.11,38.33,8.11,103.56,7.33,15.9,40.77
YOM_BASHAVUA,Monday,574.11,20.72,18.67,119.56,30.56,405.33,6.98,13.2,36.34
YOM_BASHAVUA,Saturday,55.33,2.04,2.22,11.89,3.0,38.22,8.32,16.44,40.53
YOM_BASHAVUA,Sunday,909.0,32.8,34.0,193.33,45.89,635.78,6.65,14.76,34.31
YOM_BASHAVUA,Thursday,305.33,11.02,13.22,71.22,14.67,206.22,6.62,15.58,41.08
YOM_BASHAVUA,Tuesday,428.44,15.43,17.0,101.0,23.0,287.44,7.34,14.65,38.01
YOM_BASHAVUA,Wednesday,339.78,12.28,12.22,78.67,19.44,229.44,7.82,13.24,39.69
YOM_LAYLA,day,2389.11,86.15,92.33,527.56,127.22,1642.0,7.12,14.75,74.09
YOM_LAYLA,night,380.0,13.85,12.11,86.44,17.44,264.0,6.28,12.6,66.76
ZURAT_DEREH,bridge ,1.0,0.04,0.0,0.33,0.0,0.67,0.0,0.0,33.33
ZURAT_DEREH,entering interchange ,2.0,0.08,0.0,0.5,0.0,1.5,0.0,0.0,33.33
ZURAT_DEREH,exit interchange,1.2,0.04,0.0,0.0,0.0,1.2,0.0,,34.66
ZURAT_DEREH,gas station or parking lot ,2.33,0.09,0.0,1.0,0.0,1.33,0.0,0.0,35.55
ZURAT_DEREH,hard turn ,4.38,0.15,0.0,1.12,0.12,3.12,2.5,0.0,39.87
ZURAT_DEREH,other ,1757.44,61.96,63.11,356.22,95.89,1242.22,6.45,13.58,78.1
ZURAT_DEREH,railroad intersection ,1.86,0.07,0.0,0.86,0.14,0.86,20.0,0.0,43.74
ZURAT_DEREH,road or intersection ,1003.22,37.74,41.33,255.56,48.56,657.78,7.89,14.13,68.53
ZURAT_DEREH,steep incline ,1.6,0.06,0.0,0.0,0.0,1.6,0.0,,33.33
